"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.190473992E2,5.176629100E1,5.511889117E1,1.273554692E2,1.419999957E0,2.600000000E1,1.020408154E1,4.000000000E0
1.200474025E2,5.176629779E1,5.511890039E1,1.263554682E2,1.209999919E0,2.920000076E1,9.693877220E0,4.000000000E0
1.210474056E2,5.176630621E1,5.511891548E1,1.263554774E2,1.639999986E0,2.910000038E1,1.020408154E1,4.000000000E0
1.220474089E2,5.176632117E1,5.511892973E1,1.263554574E2,1.569999933E0,3.089999962E1,1.020408154E1,4.000000000E0
1.230474120E2,5.176633195E1,5.511894473E1,1.263554568E2,1.579999924E0,3.900000000E1,1.020408154E1,4.000000000E0
1.240474152E2,5.176634280E1,5.511896141E1,1.263554608E2,1.669999957E0,4.009999847E1,1.020408154E1,4.000000000E0
1.250474184E2,5.176634619E1,5.511898781E1,1.263555236E2,1.429999948E0,5.209999847E1,1.224489784E1,4.000000000E0
1.260474216E2,5.176635814E1,5.511899971E1,1.263555092E2,1.639999986E0,5.759999847E1,1.224489784E1,4.000000000E0
1.270474248E2,5.176636568E1,5.511901933E1,1.263555353E2,1.439999938E0,6.229999924E1,1.071428585E1,4.000000000E0
1.280474280E2,5.176637260E1,5.511903869E1,1.263555632E2,1.629999995E0,6.590000153E1,1.122449017E1,4.000000000E0
1.290474312E2,5.176637725E1,5.511906090E1,1.263556087E2,1.610000014E0,6.490000153E1,1.071428585E1,4.000000000E0
1.300474345E2,5.176638777E1,5.511907473E1,1.263556057E2,1.480000019E0,6.500000000E1,1.173469353E1,4.000000000E0
1.310474377E2,5.176639523E1,5.511909242E1,1.263556265E2,1.799999952E0,6.209999847E1,1.224489784E1,4.000000000E0
1.320474410E2,5.176640269E1,5.511911782E1,1.263556698E2,1.649999976E0,5.629999924E1,1.020408154E1,4.000000000E0
1.330474442E2,5.176641346E1,5.511913776E1,1.263556835E2,1.740000010E0,5.059999847E1,1.020408154E1,4.000000000E0
1.340474475E2,5.176643140E1,5.511914933E1,1.263556435E2,2.079999924E0,3.609999847E1,1.071428585E1,4.000000000E0
1.350474507E2,5.176644485E1,5.511917129E1,1.263556521E2,1.779999971E0,3.779999924E1,1.122449017E1,4.000000000E0
1.360474539E2,5.176646539E1,5.511917967E1,1.263555921E2,1.839999914E0,3.300000000E1,1.020408154E1,4.000000000E0
