t,ax,ay,az,gx,gy,gz
0.015788387,0.02512463741,0.06161518395,9.86022377,0.0006108652451,0.004123340361,-0.0
0.017889988,0.01076770201,0.06640082598,9.802796364,0.0006108652451,0.004123340361,-0.0
0.019990133,0.001794616925,0.08554340899,9.759725571,0.0006108652451,0.004123340361,-0.0
0.022089088,0.001794616925,0.07597211748,9.754940033,0.0006108652451,0.004123340361,-0.0
0.024197524,-0.002991028363,0.07118647546,9.759127617,-0.0006108652451,-0.001985311974,-0.0
0.026329675,0.01555334684,0.08075776696,9.793225288,-0.0006108652451,-0.006872233935,-0.0
0.028463374,0.02991028316,0.09032905847,9.812367439,-0.0006108652451,-0.006872233935,-0.0
0.030584192,0.03948157281,0.07597211748,9.826724052,0.0006108652451,-0.00320704258,-0.0
0.032746342,0.03469592705,0.07597211748,9.83150959,-0.0006108652451,-0.001985311974,-0.0
0.034883722,0.03469592705,0.07597211748,9.817152977,-0.0006108652451,0.004123340361,-0.0
0.037026056,0.02033899166,0.07118647546,9.802796364,0.001832595794,0.004123340361,0.00122173049
0.039158817,0.01076770201,0.07118647546,9.793225288,0.0006108652451,0.004123340361,-0.0
0.041298161,0.01136590727,0.07118647546,9.769296646,0.0006108652451,0.0004581489484,-0.0
0.043436579,0.01615155302,0.07118647546,9.774082184,-0.0006108652451,0.0004581489484,-0.00122173049
0.045578689,0.01136590727,0.07597211748,9.774082184,-0.001832595794,-0.001985311974,0.00122173049
0.047713077,0.01555334684,0.08075776696,9.793225288,-0.0006108652451,-0.00320704258,-0.0
0.049850784,0.02033899166,0.07597211748,9.826724052,0.0006108652451,-0.00320704258,-0.0
0.051991735,0.02512463741,0.06161518395,9.817152977,0.001832595794,-0.0007635815418,-0.0
0.054130233,0.02033899166,0.08554340899,9.826724052,0.0006108652451,0.0004581489484,-0.0
0.056267166,0.01076770201,0.06161518395,9.817152977,0.001832595794,0.00167987938,-0.0
0.058402948,0.001794616925,0.07597211748,9.788438797,-0.0006108652451,0.002901609987,-0.0
0.060540767,0.001196411322,0.07118647546,9.793225288,0.0006108652451,-0.0007635815418,-0.0
0.062680668,-0.002991028363,0.06161518395,9.783653259,-0.0006108652451,0.0004581489484,0.00122173049
0.064820337,0.001794616925,0.07118647546,9.788438797,0.001832595794,-0.0007635815418,-0.0
0.066955693,0.01076770201,0.0568295382,9.812367439,-0.004276056774,-0.00320704258,-0.0
0.069094701,-0.003589233849,0.06640082598,9.826724052,0.001832595794,-0.001985311974,-0.0
0.071235691,0.02033899166,0.07597211748,9.798010826,-0.001832595794,0.0004581489484,-0.0
0.073370631,0.01076770201,0.07118647546,9.798010826,-0.0006108652451,-0.0007635815418,0.00122173049
0.075509323,0.005982056726,0.06640082598,9.821938515,0.0006108652451,-0.0007635815418,-0.0
0.077644241,-0.007776673418,0.06161518395,9.787840843,-0.004276056774,-0.0007635815418,-0.0
0.079785974,-0.007776673418,0.06161518395,9.783055305,0.001832595794,0.0004581489484,-0.0
0.081927576,0.005982056726,0.08075776696,9.798010826,-0.001832595794,0.0004581489484,0.00122173049
0.084065374,0.01076770201,0.07597211748,9.793225288,0.003054326167,0.0004581489484,-0.0
0.086199711,0.01076770201,0.07118647546,9.798010826,-0.003054326167,-0.0007635815418,0.00122173049
0.088337468,0.001196411322,0.06640082598,9.812367439,0.001832595794,-0.0007635815418,-0.0
0.090472193,-0.003589233849,0.08554340899,9.80219841,-0.0006108652451,0.0004581489484,-0.00122173049
0.092594294,-0.003589233849,0.07118647546,9.806983948,0.001832595794,0.0004581489484,0.00122173049
0.094753208,0.01076770201,0.08075776696,9.807581902,-0.0006108652451,0.0004581489484,-0.0
0.096890894,0.001196411322,0.08554340899,9.807581902,0.0006108652451,0.00167987938,-0.0
0.099035832,0.006580262445,0.08075776696,9.778867722,-0.0006108652451,0.0004581489484,-0.0
0.10117126,0.006580262445,0.09032905847,9.788438797,0.0006108652451,-0.0007635815418,0.00122173049
0.103305607,0.01555334684,0.08554340899,9.798010826,-0.0006108652451,-0.0007635815418,-0.0
0.105444758,0.01076770201,0.08075776696,9.807581902,0.001832595794,-0.0007635815418,0.00122173049
0.107584762,0.001196411322,0.08554340899,9.798010826,-0.001832595794,-0.0007635815418,0.00122173049
0.10972381,0.005982056726,0.09032905847,9.817152977,0.001832595794,0.00167987938,0.00122173049
0.111862889,0.001196411322,0.08554340899,9.798010826,0.001832595794,0.00167987938,-0.0
0.113999506,0.01076770201,0.07597211748,9.798010826,-0.001832595794,-0.0007635815418,-0.0
0.116134404,-0.003589233849,0.08075776696,9.80219841,0.001832595794,0.0004581489484,-0.0
0.118273268,0.01076770201,0.08075776696,9.812367439,-0.0006108652451,-0.0007635815418,-0.0
0.120411829,0.01076770201,0.07597211748,9.788438797,-0.0006108652451,0.0004581489484,0.00122173049
0.12255454,-0.003589233849,0.07597211748,9.797411919,0.0006108652451,0.0004581489484,-0.0
0.124687353,0.006580262445,0.08554340899,9.783653259,0.0006108652451,-0.0007635815418,0.00122173049
0.126826858,-0.002991028363,0.09032905847,9.797411919,-0.0006108652451,0.0004581489484,-0.0
0.128964227,0.005982056726,0.08075776696,9.807581902,0.001832595794,-0.0007635815418,-0.0
0.131102117,-0.002991028363,0.08075776696,9.792626381,-0.003054326167,-0.0007635815418,-0.0
0.133214543,0.006580262445,0.08075776696,9.788438797,0.0006108652451,0.0004581489484,0.00122173049
0.135359502,0.01076770201,0.08075776696,9.821938515,0.001832595794,0.0004581489484,-0.00122173049
0.137518061,0.01615155302,0.08075776696,9.793225288,0.0006108652451,0.0004581489484,0.00122173049
0.139666722,0.01615155302,0.09032905847,9.788438797,0.0006108652451,-0.0007635815418,0.00122173049
0.141803166,0.02512463741,0.08075776696,9.812367439,-0.0006108652451,-0.0007635815418,-0.0
0.143936059,0.02033899166,0.07118647546,9.798010826,0.0006108652451,0.0004581489484,-0.00122173049
0.146068374,0.02512463741,0.08075776696,9.802796364,0.003054326167,0.0004581489484,-0.00122173049
0.148206985,0.01555334684,0.09032905847,9.807581902,0.0006108652451,0.0004581489484,-0.0
0.150348891,0.006580262445,0.07597211748,9.793225288,0.0006108652451,-0.0007635815418,-0.0
0.152505956,0.005982056726,0.08075776696,9.821938515,0.0006108652451,-0.0007635815418,0.00122173049
0.154646611,0.02572284266,0.06161518395,9.750154495,0.001832595794,-0.0007635815418,-0.0
